id,label,iri,semantic
WormBase:WBGene00003048,lit-1,,gene
MP:0001074,abnormal vagus nerve morphology,,phenotype
ENSEMBL:ENSMODG00000000956,ENSEMBL:ENSMODG00000000956,,gene
MP:0009933,abnormal tail hair pigmentation,,phenotype
ENSEMBL:ENSRNOG00000033057,D3ZGY4,,gene
WBPhenotype:0000462,paraquat hypersensitive,,phenotype
Coriell:GM04767,NIGMS-GM04767,,biological artifact
FlyBase:FBgn0019960,Mitofilin,,gene
ENSEMBL:ENSCAFG00000009660,ENSEMBL:ENSCAFG00000009660,,gene
3533,ruboxistaurin,,drug
HP:0000135,Hypogonadism,,phenotype
Xenbase:XB-GENE-485307,mhc1a,,gene
FBcv:0000672,abnormal endomitotic cell cycle,,phenotype
ENSEMBL:ENSGALG00000008424,ENSEMBL:ENSGALG00000008424,,gene
ZP:0001382,"retinal inner nuclear layer morphology, abnormal",,phenotype
MONARCH:APO_0000081APO_0000003,killer toxin resistance:decreased,,phenotype
MGI:2136841,Morc3,,gene
ZP:0016901,"CaP motoneuron decreased length, abnormal",,phenotype
ENSEMBL:ENSRNOG00000001893,ENSEMBL:ENSRNOG00000001893,,gene
HP:0200035,Skin plaque,,phenotype
EFO:0007825,balding measurement,,phenotype
RGD:735133,Plekha4,,gene
RGD:3380,Ppp2ca,,gene
MGI:1858210,Stx7,,gene
MP:0002941,increased circulating alanine transaminase level,,phenotype
dictyBase:DDB_G0284177,DDB0185880,,gene
MGI:1096327,Axin1,,gene
HP:0000118,human phenotypic abnormality,,phenotype
MGI:105922,Rpl13,,gene
Xenbase:XB-GENE-479691,psmb7.2,,gene
MP:0003047,abnormal thoracic vertebrae morphology,,phenotype
SGD:S000001556,LHS1,,gene
FlyBase:FBgn0026176,SkpB,,gene
HP:0002167,Neurological speech impairment,,phenotype
ZP:0138431,"retinal pigmented epithelium incomplete structure, abnormal",,phenotype
MP:0003123,paternal imprinting,,phenotype
ZP:0004336,"pigmentation delayed, abnormal",,phenotype
ENSEMBL:ENSSSCG00000021834,ERCC6L,,gene
MP:0009767,decreased sensitivity to xenobiotic induced morbidity/mortality,,phenotype
ENSEMBL:ENSOANG00000009869,ENSEMBL:ENSOANG00000009869,,gene
ENSEMBL:ENSBTAG00000052438,ENSEMBL:ENSBTAG00000052438,,gene
ENSEMBL:ENSECAG00000018079,ENSEMBL:ENSECAG00000018079,,gene
MGI:1926953,Ctdp1,,gene
PomBase:SPBC947.02,apl2,,gene
ENSEMBL:ENSBTAG00000011067,IL17RA,,gene
MP:0012319,fast extinction of fear memory,,phenotype
SGD:S000005364,SIN3,,gene
ZP:0000324,"whole organism decreased size, abnormal",,phenotype
HP:0011390,Morphological abnormality of the inner ear,,phenotype
MONARCH:APO_0000052APO_0000004,cell size:increased,,phenotype
ENSEMBL:ENSBTAG00000052778,A0A3Q1LJX4,,gene
HGNC:1442,CALM1,,gene
dictyBase:DDB_G0290629,DDB0189005,,gene
MGI:95757,Slc2a3,,gene
HGNC:16666,KIF9,,gene
WBPhenotype:0002159,increased pathogen accumulation,,phenotype
ZP:0000570,"gut quality, abnormal",,phenotype
FlyBase:FBgn0031657,Polr1C,,gene
HP:0020119,Abnormal retinal nerve fiber layer morphology,,phenotype
MGI:1349722,Pabpc1,,gene
ZP:0000528,"cardiac ventricle decreased size, abnormal",,phenotype
1494,fluostigmine,,drug
RGD:620578,Sh3gl3,,gene
5388,selumetinib,,drug
PomBase:SPBC1734.16c,pst3,,gene
ENSEMBL:ENSPTRG00000009021,ENSEMBL:ENSPTRG00000009021,,gene
ENSEMBL:ENSPTRG00000015954,ENSEMBL:ENSPTRG00000015954,,gene
WBPhenotype:0000605,reproductive system morphology variant,,phenotype
MP:0000438,abnormal cranium morphology,,phenotype
ENSEMBL:ENSBTAG00000004565,A0A3Q1LLH1,,gene
HP:0002515,Waddling gait,,phenotype
MGI:5429327,Tg(HDexon1)62Gpb [B6.Cg-Tg(HDexon1)62Gpb/240],,genotype
ZP:0000581,"cranium edematous, abnormal",,phenotype
ENSEMBL:ENSACAG00000011713,ENSEMBL:ENSACAG00000011713,,gene
ENSEMBL:ENSOANG00000036065,ENSEMBL:ENSOANG00000036065,,gene
MP:0009358,environmentally induced seizures,,phenotype
HP:0001406,Intrahepatic cholestasis,,phenotype
HGNC:21091,ZNF451,,gene
ENSEMBL:ENSDARG00000116968,A0A2R8RR55,,gene
PomBase:SPAC589.07c,atg1801,,gene
MP:0005458,increased percent body fat/body weight,,phenotype
ENSEMBL:ENSCAFG00000010822,ENSEMBL:ENSCAFG00000010822,,gene
ENSEMBL:ENSACAG00000024548,ENSEMBL:ENSACAG00000024548,,gene
ENSEMBL:ENSSSCG00000024679,UPF3A,,gene
ZP:0000537,"intersegmental vessel collapsed, abnormal",,phenotype
ENSEMBL:ENSBTAG00000020963,ENSEMBL:ENSBTAG00000020963,,gene
HP:0003444,EMG: chronic denervation signs,,phenotype
ZP:0018607,"rhombomere 3 morphogenesis process quality, abnormal",,phenotype
MONARCH:APO_0000224APO_0000004,RNA accumulation:increased,,phenotype
MP:0000031,abnormal cochlea morphology,,phenotype
ENSEMBL:ENSMODG00000015062,ENSEMBL:ENSMODG00000015062,,gene
ZP:0003404,"cerebral spinal fluid increased volume, abnormal",,phenotype
HP:0001660,Truncus arteriosus,,phenotype
MONARCH:APO_0000089APO_0000002,budding index:abnormal,,phenotype
ENSEMBL:ENSECAG00000017197,ENSEMBL:ENSECAG00000017197,,gene
MP:0003209,abnormal pulmonary elastic fiber morphology,,phenotype
ENSEMBL:ENSOANG00000048512,ENSEMBL:ENSOANG00000048512,,gene
ZP:0000386,"mid diencephalic organizer increased thickness, abnormal",,phenotype
ENSEMBL:ENSFCAG00000041725,ENSEMBL:ENSFCAG00000041725,,gene
WBPhenotype:0000270,pleiotropic defects severe early emb,,phenotype
dictyBase:DDB_G0290187,hspH,,gene
ZP:0000138,"chondrocyte disorganized, abnormal",,phenotype
Xenbase:XB-GENE-970603,psmb1,,gene
HP:0007165,Periventricular heterotopia,,phenotype
HP:0002460,Distal muscle weakness,,phenotype
ZP:0102743,"ceratohyal cartilage decreased amount, abnormal",,phenotype
MGI:1914943,Hypk,,gene
ZFIN:ZDB-GENE-040426-1272,ddb1,,gene
MP:0002855,abnormal cochlear ganglion morphology,,phenotype
HP:0001410,Decreased liver function,,phenotype
ZP:0005613,"erythroblast immature, abnormal",,phenotype
HP:0005487,Prominent metopic ridge,,phenotype
SGD:S000000112,FUS3,,gene
ENSEMBL:ENSECAG00000009115,ENSEMBL:ENSECAG00000009115,,gene
ZP:0000382,"primary neuron tract of the postoptic commissure morphology, abnormal",,phenotype
ENSEMBL:ENSCAFG00000019170,ENSEMBL:ENSCAFG00000019170,,gene
ENSEMBL:ENSCAFG00000011417,LOC100856765,,gene
ZP:0000358,"forebrain quality, abnormal",,phenotype
MP:0001706,abnormal left-right axis patterning,,phenotype
Xenbase:XB-GENE-491581,hnrnpl,,gene
MP:0000852,small cerebellum,,phenotype
WormBase:WBGene00010263,wago-4,,gene
ENSEMBL:ENSMMUG00000056744,ENSEMBL:ENSMMUG00000056744,,gene
PomBase:SPBC16G5.11c,bag101,,gene
HGNC:1918,CHD3,,gene
Xenbase:XB-GENE-5879626,lamtor1,,gene
RGD:1593284,Hspa1a,,gene
MGI:2152414,Ipo7,,gene
MP:0004937,dilated heart,,phenotype
RGD:620247,Cetn2,,gene
FlyBase:FBgn0013348,TpnC41C,,gene
ZP:0004246,"response to ionizing radiation disrupted, abnormal",,phenotype
MP:0001413,abnormal response to new environment,,phenotype
MP:0005280,abnormal fatty acids level,,phenotype
ZFIN:ZDB-GENE-041001-205,adgb,,gene
MP:0009405,increased skeletal muscle fiber number,,phenotype
WormBase:WBGene00013168,arp-1,,gene
RGD:2840,Hspa1b,,gene
Xenbase:XB-GENE-489122,actn2,,gene
HP:0004429,Recurrent viral infections,,phenotype
ENSEMBL:ENSMODG00000015810,ENSEMBL:ENSMODG00000015810,,gene
ENSEMBL:ENSECAG00000000734,ENSEMBL:ENSECAG00000000734,,gene
ENSEMBL:ENSOANG00000003658,ENSEMBL:ENSOANG00000003658,,gene
ENSEMBL:ENSOANG00000039549,ENSEMBL:ENSOANG00000039549,,gene
PomBase:SPBC2F12.13,klp5,,gene
ENSEMBL:ENSMODG00000010827,ENSEMBL:ENSMODG00000010827,,gene
MP:0010047,axonal spheroids,,phenotype
WBPhenotype:0000135,gene expression level high,,phenotype
ZP:0002702,"endoplasmic reticulum chondrocyte morphology, abnormal",,phenotype
ENSEMBL:ENSACAG00000001226,ENSEMBL:ENSACAG00000001226,,gene
HP:0001298,Encephalopathy,,phenotype
MP:0004747,abnormal cochlear OHC afferent innervation pattern,,phenotype
ZP:0007731,"myotome detached from myofibril vertical myoseptum, abnormal",,phenotype
HP:0100738,Abnormal eating behavior,,phenotype
WBPhenotype:0001430,lysosome organization biogenesis variant,,phenotype
RGD:727907,Tenm2,,gene
SGD:S000004798,HSC82,,gene
ZP:0004009,"head size, abnormal",,phenotype
ZP:0011530,"epiboly involved in gastrulation with mouth forming second process quality, abnormal",,phenotype
ENSEMBL:ENSFCAG00000000695,ENSEMBL:ENSFCAG00000000695,,gene
EFO:0004305,erythrocyte count,,phenotype
ENSEMBL:ENSCAFG00000004725,CDK5,,gene
Xenbase:XB-GENE-967908,ddb1,,gene
ENSEMBL:ENSECAG00000022119,ENSEMBL:ENSECAG00000022119,,gene
FBcv:0000354,visible,,phenotype
MGI:101920,Ap2a2,,gene
ENSEMBL:ENSGALG00000052686,MHCIA6,,gene
ENSEMBL:ENSMMUG00000017758,ENSEMBL:ENSMMUG00000017758,,gene
ZP:0003336,"pronephric duct cystic, abnormal",,phenotype
MONARCH:APO_0000075APO_0000003,endocytosis:decreased,,phenotype
WBPhenotype:0001485,ER stress response variant,,phenotype
Xenbase:XB-GENE-486199,pias4,,gene
ENSEMBL:ENSCAFG00000010836,CENPE,,gene
ENSEMBL:ENSGALG00000004222,HK1,,gene
ENSEMBL:ENSSSCG00000031302,CTBP1,,gene
ENSEMBL:ENSECAG00000022516,ENSEMBL:ENSECAG00000022516,,gene
ZP:0019985,"whole organism has extra parts of type neural tube, abnormal",,phenotype
WBPhenotype:0001792,nuclei small,,phenotype
WBPhenotype:0000075,cuticle attachment variant,,phenotype
ENSEMBL:ENSSSCG00000001757,ENSEMBL:ENSSSCG00000001757,,gene
ENSEMBL:ENSBTAG00000024787,HAUS3,,gene
WBPhenotype:0000765,spindle elongation integrity defective early emb,,phenotype
WBPhenotype:0001444,aqueous adaptation defective,,phenotype
ENSEMBL:ENSMODG00000004742,ENSEMBL:ENSMODG00000004742,,gene
ENSEMBL:ENSOANG00000009317,ENSEMBL:ENSOANG00000009317,,gene
ENSEMBL:ENSSSCG00000007431,CTSA,,gene
MP:0014218,increased intestinal mucosa thickness,,phenotype
MP:0004165,abnormal lateral geniculate nucleus morphology,,phenotype
HP:0000517,Abnormality of the lens,,phenotype
HP:0040238,Impaired neutrophil chemotaxis,,phenotype
PomBase:SPBC1347.12,arp1,,gene
HP:0002136,Broad-based gait,,phenotype
ENSEMBL:ENSSSCG00000012757,ENSEMBL:ENSSSCG00000012757,,gene
ENSEMBL:ENSFCAG00000000249,ENSEMBL:ENSFCAG00000000249,,gene
ENSEMBL:ENSMMUG00000007524,ENSEMBL:ENSMMUG00000007524,,gene
ENSEMBL:ENSMMUG00000022495,ENSEMBL:ENSMMUG00000022495,,gene
ZP:0002516,"pronephric glomerulus cystic, abnormal",,phenotype
ZP:0009508,"cerebellar granule cell decreased amount, abnormal",,phenotype
ENSEMBL:ENSACAG00000022657,ENSEMBL:ENSACAG00000022657,,gene
EFO:0004346,neuroimaging measurement,,phenotype
ENSEMBL:ENSGALG00000034374,ENSEMBL:ENSGALG00000034374,,gene
1763,methylthioninium chloride,,drug
WormBase:WBGene00016081,C25A6.1,,gene
ENSEMBL:ENSECAG00000005572,ENSEMBL:ENSECAG00000005572,,gene
ENSEMBL:ENSRNOG00000059770,F1M9F3,,gene
ZP:0002361,"endodermal cell decreased amount, abnormal",,phenotype
PomBase:SPAC22F3.11c,snu23,,gene
ENSEMBL:ENSCAFG00000004985,ACTR3,,gene
dictyBase:DDB_G0273249,hspE-1,,gene
MP:0003448,abnormal tumor morphology,,phenotype
WBPhenotype:0001950,diplotene region organization variant,,phenotype
ENSEMBL:ENSPTRG00000008130,ENSEMBL:ENSPTRG00000008130,,gene
MONARCH:APO_0000105APO_0000003,mitochondrial genome maintenance:decreased,,phenotype
ENSEMBL:ENSPTRG00000011966,ENSEMBL:ENSPTRG00000011966,,gene
ZFIN:ZDB-GENE-030131-6334,brf1a,,gene
ENSEMBL:ENSOANG00000000140,ENSEMBL:ENSOANG00000000140,,gene
ENSEMBL:ENSCAFG00000015834,ENSEMBL:ENSCAFG00000015834,,gene
RGD:1359542,Ubac1,,gene
FlyBase:FBgn0040232,cmet,,gene
ENSEMBL:ENSACAG00000002311,ENSEMBL:ENSACAG00000002311,,gene
759,cycloserine,,drug
ZP:0006387,"retinal inner nuclear layer absent, abnormal",,phenotype
WormBase:WBGene00014158,ZK938.1,,gene
ENSEMBL:ENSGALG00000016579,ENSEMBL:ENSGALG00000016579,,gene
ENSEMBL:ENSECAG00000020408,ENSEMBL:ENSECAG00000020408,,gene
SGD:S000006312,RPN7,,gene
FlyBase:FBgn0004379,Klp67A,,gene
dictyBase:DDB_G0276237,DDB_G0276237,,gene
ENSEMBL:ENSBTAG00000053386,RAB43,,gene
WormBase:WBGene00013598,vps-28,,gene
PomBase:SPCC63.08c,atg1,,gene
ENSEMBL:ENSPTRG00000017438,ENSEMBL:ENSPTRG00000017438,,gene
PomBase:SPAC589.10c,ubi5,,gene
HGNC:9284,PPP1R10,,gene
ZP:0000657,"retinal ganglion cell decreased amount, abnormal",,phenotype
dictyBase:DDB_G0282653,DDB0230049,,gene
ENSEMBL:ENSCAFG00000003298,DNALI1,,gene
ZFIN:ZDB-GENE-050320-48,ube2ka,,gene
MP:0008074,"increased CD4-positive, alpha beta T cell number",,phenotype
MP:0001674,abnormal germ layer development,,phenotype
MP:0002797,increased thigmotaxis,,phenotype
ENSEMBL:ENSCAFG00000023617,LOC106558132,,gene
ZFIN:ZDB-GENE-041024-9,prrc1,,gene
MP:0004799,increased susceptibility to experimental autoimmune encephalomyelitis,,phenotype
MP:0001658,increased mortality induced by gamma-irradiation,,phenotype
ENSEMBL:ENSFCAG00000032566,ENSEMBL:ENSFCAG00000032566,,gene
ENSEMBL:ENSPTRG00000003063,ENSEMBL:ENSPTRG00000003063,,gene
ENSEMBL:ENSG00000253978,ENSEMBL:ENSG00000253978,,gene
PomBase:SPCC970.10c,brl2,,gene
ENSEMBL:ENSBTAG00000012235,ENSEMBL:ENSBTAG00000012235,,gene
FlyBase:FBgn0038145,Droj2,,gene
ENSEMBL:ENSMMUG00000004560,ENSEMBL:ENSMMUG00000004560,,gene
ENSEMBL:ENSMODG00000011679,ENSEMBL:ENSMODG00000011679,,gene
HP:0001166,Arachnodactyly,,phenotype
WBPhenotype:0000329,pumping asynchronous,,phenotype
EFO:0010078,dentures,,phenotype
MP:0000850,absent cerebellum,,phenotype
ZP:0001318,"ceratobranchial cartilage decreased amount, abnormal",,phenotype
ENSEMBL:ENSSSCG00000017514,KPNB1,,gene
ZP:0017123,"atrium size, abnormal",,phenotype
WBPhenotype:0001932,myopodia present,,phenotype
ENSEMBL:ENSPTRG00000007393,ENSEMBL:ENSPTRG00000007393,,gene
PomBase:SPBC215.15,sec13,,gene
HP:0040170,Abnormality of hair growth,,phenotype
ENSEMBL:ENSPTRG00000003073,ENSEMBL:ENSPTRG00000003073,,gene
FBcv:0000424,abnormal cell death,,phenotype
ENSEMBL:ENSGALG00000034475,EIF3G,,gene
ENSEMBL:ENSECAG00000016097,ENSEMBL:ENSECAG00000016097,,gene
ENSEMBL:ENSCAFG00000048508,A0A5F4DC43,,gene
ENSEMBL:ENSECAG00000001231,ENSEMBL:ENSECAG00000001231,,gene
HP:0000207,Triangular mouth,,phenotype
HP:0006891,Thick cerebral cortex,,phenotype
ENSEMBL:ENSSSCG00000044778,DPPA4,,gene
ZFIN:ZDB-GENE-040122-3,rab5ab,,gene
MP:0004268,abnormal optic stalk morphology,,phenotype
ENSEMBL:ENSFCAG00000008858,ENSEMBL:ENSFCAG00000008858,,gene
MGI:2389466,Tg(HDexon1)61Gpb,,variant
HP:0000529,Progressive visual loss,,phenotype
ZP:0101816,"neuromuscular junction ventral root structure, abnormal",,phenotype
P20618,Proteasome subunit beta type-1,,gene product
MP:0010225,abnormal quadriceps morphology,,phenotype
HP:0000650,Abnormal amplitude of pattern reversal visual evoked potentials,,phenotype
ZFIN:ZDB-GENE-040426-1029,rae1,,gene
ZP:0019546,"opercle decreased amount, abnormal",,phenotype
FlyBase:FBgn0024997,CG2681,,gene
ENSEMBL:ENSMODG00000004380,ENSEMBL:ENSMODG00000004380,,gene
ZP:0106396,"ceratobranchial 1 cartilage decreased amount, abnormal",,phenotype
HGNC:20778,TUBB,,gene
HP:0006543,Cardiorespiratory arrest,,phenotype
ZP:0104386,"caudal artery increased distribution, abnormal",,phenotype
MP:0008160,increased diameter of humerus,,phenotype
ENSEMBL:ENSFCAG00000000629,ENSEMBL:ENSFCAG00000000629,,gene
MONARCH:APO_0000071APO_0000003,cytokinesis:decreased,,phenotype
ZP:0000303,"cell cycle arrested, abnormal",,phenotype
HGNC:8607,PRKN,,gene
MP:0002837,dystrophic cardiac calcinosis,,phenotype
ENSEMBL:ENSECAG00000016700,ENSEMBL:ENSECAG00000016700,,gene
ENSEMBL:ENSSSCG00000008881,RAPGEF2,,gene
XPO:0115436,abnormally delayed closure of blastopore,,phenotype
HP:0000648,Optic atrophy,,phenotype
HGNC:17142,OPTN,,gene
HP:0002718,Recurrent bacterial infections,,phenotype
WormBase:WBGene00022069,eel-1,,gene
dbSNP:rs78621558,rs78621558-?,,variant
MGI:1925583,Prpf40b,,gene
ENSEMBL:ENSECAG00000023974,ENSEMBL:ENSECAG00000023974,,gene
Coriell:GM06773,NIGMS-GM06773,,biological artifact
dictyBase:DDB_G0277915,gefI,,gene
MP:0001302,eyelids open at birth,,phenotype
ZP:0006325,"axis specification arrested, abnormal",,phenotype
ENSEMBL:ENSPTRG00000003943,ENSEMBL:ENSPTRG00000003943,,gene
ENSEMBL:ENSFCAG00000012038,ENSEMBL:ENSFCAG00000012038,,gene
FlyBase:FBgn0017550,Rga,,gene
ENSEMBL:ENSBTAG00000023978,ENSEMBL:ENSBTAG00000023978,,gene
Xenbase:XB-GENE-990470,kif18a,,gene
HP:0006892,Frontotemporal cerebral atrophy,,phenotype
MP:0003062,abnormal coping response,,phenotype
ENSEMBL:ENSMMUG00000014207,ENSEMBL:ENSMMUG00000014207,,gene
ZP:0000505,"retinal cone cell decreased amount, abnormal",,phenotype
ENSEMBL:ENSMMUG00000008213,ENSEMBL:ENSMMUG00000008213,,gene
MP:0010286,increased plasmacytoma incidence,,phenotype
HP:0040088,Abnormal lymphocyte count,,phenotype
ENSEMBL:ENSECAG00000007220,ENSEMBL:ENSECAG00000007220,,gene
ENSEMBL:ENSSSCG00000004119,GRM1,,gene
MGI:96250,Hsp90aa1,,gene
ZP:0106515,"cardiac muscle cell cardiac ventricle condensed, abnormal",,phenotype
MP:0001415,increased exploration in new environment,,phenotype
MGI:2144790,Ighg3,,gene
WBPhenotype:0000228,spontaneous mutation rate increased,,phenotype
WBPhenotype:0000145,fertility phenotype,,phenotype
ZP:0004084,"cilium otic vesicle decreased amount, abnormal",,phenotype
WormBase:WBGene00007699,C24H11.1,,gene
MP:0002753,dilated heart left ventricle,,phenotype
HP:0011054,Agenesis of molar,,phenotype
ENSEMBL:ENSCAFG00000015827,PFN1,,gene
HGNC:115,ACLY,,gene
ZP:0000819,"pharyngeal arch 2 decreased size, abnormal",,phenotype
RGD:621353,Cltb,,gene
WormBase:WBGene00009977,swan-1,,gene
ZP:0000160,"whole organism wholly dorsalized, abnormal",,phenotype
ENSEMBL:ENSGALG00000051479,CDK5,,gene
ENSEMBL:ENSPTRG00000045358,ENSEMBL:ENSPTRG00000045358,,gene
MP:0002736,abnormal nociception after inflammation,,phenotype
MP:0030252,narrow frontonasal prominence,,phenotype
WBPhenotype:0002213,kinase activity reduced,,phenotype
ZP:0018479,"spinal cord decreased process quality motor neuron axon guidance, abnormal",,phenotype
ENSEMBL:ENSMMUG00000001264,ENSEMBL:ENSMMUG00000001264,,gene
ZFIN:ZDB-GENE-040822-13,gga1,,gene
ENSEMBL:ENSBTAG00000007390,VAT1,,gene
FlyBase:FBgn0000253,Cam,,gene
EFO:0004584,mean platelet volume,,phenotype
MP:0004753,abnormal miniature excitatory postsynaptic currents,,phenotype
HP:0000726,Dementia,,phenotype
ZP:0106466,"primordial germ cell has extra parts of type microtubule organizing center primordial germ cell, abnormal",,phenotype
MP:0001188,hyperpigmentation,,phenotype
ZP:0100129,"skeletal muscle decreased occurrence skeletal myofibril assembly, abnormal",,phenotype
dictyBase:DDB_G0283857,lig3,,gene
ENSEMBL:ENSMODG00000017226,ENSEMBL:ENSMODG00000017226,,gene
PomBase:SPBC18H10.03,tif307,,gene
EFO:0004833,neutrophil count,,phenotype
ENSEMBL:ENSPTRG00000007938,ENSEMBL:ENSPTRG00000007938,,gene
WBPhenotype:0001043,interphase entry defective early emb,,phenotype
HP:0012647,Abnormal inflammatory response,,phenotype
dictyBase:DDB_G0267754,DDB_G0267754,,gene
HP:0009887,Abnormality of hair pigmentation,,phenotype
ZP:0001385,"Rohon-Beard neuron displaced to axis spinal cord, abnormal",,phenotype
dictyBase:DDB_G0281363,DDB0204159,,gene
WBPhenotype:0000294,intestine dark,,phenotype
ENSEMBL:ENSGALG00000005517,KIF9,,gene
Coriell:GM02146,NIGMS-GM02146,,biological artifact
FBcv:0000006,male semi-fertile,,phenotype
ZP:0000589,"central artery decreased branchiness, abnormal",,phenotype
ENSEMBL:ENSSSCG00000007700,HIP1,,gene
MP:0001093,small trigeminal ganglion,,phenotype
P53396,ATP-citrate synthase,,gene product
WBPhenotype:0001172,programmed cell death variant,,phenotype
EnsemblGenome:AT2G32390,EnsemblGenome:AT2G32390,,gene
RGD:1309400,Ift20,,gene
ZP:0019003,"pronephric proximal straight tubule increased distribution, abnormal",,phenotype
HGNC:561,AP2A1,,gene
SGD:S000001072,SLT2,,gene
MP:0001489,decreased startle reflex,,phenotype
ENSEMBL:ENSPTRG00000017230,ENSEMBL:ENSPTRG00000017230,,gene
MGI:88218,Commd3,,gene
MGI:1926421,Tcerg1,,gene
MGI:96193,Hoxc11,,gene
PomBase:SPAC1952.05,gcn5,,gene
dictyBase:DDB_G0285149,DDB_G0285149,,gene
WBPhenotype:0002078,histone methylation variant,,phenotype
MP:0008535,enlarged lateral ventricles,,phenotype
ENSEMBL:ENSCAFG00000018040,ENSEMBL:ENSCAFG00000018040,,gene
SGD:S000002736,SKP1,,gene
MP:0005560,decreased circulating glucose level,,phenotype
ZP:0008444,"angular vestibuloocular reflex decreased process quality, abnormal",,phenotype
MP:0010699,dilated hair follicles,,phenotype
ZP:0014806,"neuromuscular process controlling balance process quality, abnormal",,phenotype
ENSEMBL:ENSSSCG00000006063,ENSEMBL:ENSSSCG00000006063,,gene
MP:0009339,decreased splenocyte number,,phenotype
HGNC:18412,ZDHHC17,,gene
MGI:98731,Tgm2,,gene
dictyBase:DDB_G0269544,DDB0190345,,gene
ENSEMBL:ENSMMUG00000007811,ENSEMBL:ENSMMUG00000007811,,gene
EnsemblGenome:AT2G05630,EnsemblGenome:AT2G05630,,gene
MP:0020348,decreased olfactory sensory neuron number,,phenotype
ZP:0000938,"swimming behavior decreased duration, abnormal",,phenotype
ZP:0138139,"trabecular layer of the atrium increased thickness, abnormal",,phenotype
ENSEMBL:ENSFCAG00000000832,ENSEMBL:ENSFCAG00000000832,,gene
ENSEMBL:ENSGALG00000039830,DHX30,,gene
ZP:0000381,"parapineal organ position, abnormal",,phenotype
ZP:0017557,"pharyngeal arch 3-7 decreased amount, abnormal",,phenotype
MP:0002968,increased circulating alkaline phosphatase level,,phenotype
MP:0008907,decreased total fat pad weight,,phenotype
ENSEMBL:ENSACAG00000014561,ENSEMBL:ENSACAG00000014561,,gene
FlyBase:FBgn0000578,ena,,gene
dictyBase:DDB_G0276759,cbpA,,gene
MP:0009453,enhanced contextual conditioning behavior,,phenotype
ENSEMBL:ENSECAG00000006950,ENSEMBL:ENSECAG00000006950,,gene
MP:0006204,embryonic lethality before implantation,,phenotype
WBPhenotype:0001539,dauer induction variant,,phenotype
ENSEMBL:ENSACAG00000000744,ENSEMBL:ENSACAG00000000744,,gene
MP:0008673,decreased interleukin-13 secretion,,phenotype
Xenbase:XB-GENE-964820,rpl13,,gene
ENSEMBL:ENSOANG00000004900,ENSEMBL:ENSOANG00000004900,,gene
ENSEMBL:ENSGALG00000017111,ENSEMBL:ENSGALG00000017111,,gene
MGI:3699097,Htt<tm1.1Tna>/Htt<+> [involves: 129P2/OlaHsd * C57BL/6J],,genotype
MP:0003313,abnormal locomotor activation,,phenotype
MP:0008518,retinal outer nuclear layer degeneration,,phenotype
