id,semantic_groups,preflabel,synonyms,description,name
ENSEMBL:ENSRNOG00000030224,ORTH,A0A0G2K7M1,NA,NA,A0A0G2K7M1
ENSEMBL:ENSECAG00000003944,ORTH,ENSEMBL:ENSECAG00000003944,NA,NA,ENSEMBL:ENSECAG00000003944
SGD:S000003272,ORTH,KSS1,NA,NA,KSS1
ENSEMBL:ENSCAFG00000031581,ORTH,MAPK3,ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described. [provided by RefSeq, Jul 2008].",mitogen-activated protein kinase 3
ENSEMBL:ENSSSCG00000021408,ORTH,TKT,MIG20a|NTRKR3|TKT|TYRO10|WRCN,"This gene encodes a member of the discoidin domain receptor subclass of the receptor tyrosine kinase (RTKs) protein family. RTKs play a key role in the communication of cells with their microenvironment. The encoded protein is a collagen-induced receptor that activates signal transduction pathways involved in cell adhesion, proliferation, and extracellular matrix remodeling. This protein is expressed in numerous cell types and may alos be involved in wound repair and regulate tumor growth and invasiveness. Mutations in this gene are the cause of short limb-hand type spondylometaepiphyseal dysplasia. [provided by RefSeq, Aug 2017].",discoidin domain receptor tyrosine kinase 2
WormBase:WBGene00008506,ORTH,tkt-1,NA,NA,tkt-1
MGI:1351465,ORTH,G3bp1,NA,NA,G3bp1
MP:0011110,DISO,"preweaning lethality, incomplete penetrance",NA,NA,"preweaning lethality, incomplete penetrance"
RGD:1359718,ORTH,Wdr45,NA,NA,Wdr45
ENSEMBL:ENSOANG00000044470,ORTH,ENSEMBL:ENSOANG00000044470,NA,NA,ENSEMBL:ENSOANG00000044470
WormBase:WBGene00000066,ORTH,act-4,NA,NA,act-4
WBPhenotype:0000697,DISO,protruding vulva,NA,NA,protruding vulva
ENSEMBL:ENSOANG00000014851,ORTH,ENSEMBL:ENSOANG00000014851,NA,NA,ENSEMBL:ENSOANG00000014851
ENSEMBL:ENSSSCG00000014016,ORTH,SQSTM1,A170|DMRV|FTDALS3|NADGP|OSIL|PDB3|ZIP3|p60|p62|p62B,"This gene encodes a multifunctional protein that binds ubiquitin and regulates activation of the nuclear factor kappa-B (NF-kB) signaling pathway. The protein functions as a scaffolding/adaptor protein in concert with TNF receptor-associated factor 6 to mediate activation of NF-kB in response to upstream signals. Alternatively spliced transcript variants encoding either the same or different isoforms have been identified for this gene. Mutations in this gene result in sporadic and familial Paget disease of bone. [provided by RefSeq, Mar 2009].",sequestosome 1
HGNC:9852,GENE,IPO7,Imp7|RANBP7,"The importin-alpha/beta complex and the GTPase Ran mediate nuclear import of proteins with a classical nuclear localization signal. The protein encoded by this gene is a member of a class of approximately 20 potential Ran targets that share a sequence motif related to the Ran-binding site of importin-beta. Similar to importin-beta, this protein prevents the activation of Ran's GTPase by RanGAP1 and inhibits nucleotide exchange on RanGTP, and also binds directly to nuclear pore complexes where it competes for binding sites with importin-beta and transportin. This protein has a Ran-dependent transport cycle and it can cross the nuclear envelope rapidly and in both directions. At least four importin beta-like transport receptors, namely importin beta itself, transportin, RanBP5 and RanBP7, directly bind and import ribosomal proteins. [provided by RefSeq, Jul 2008].",importin 7
ENSEMBL:ENSCAFG00000007259,ORTH,ENSEMBL:ENSCAFG00000007259,NA,NA,ENSEMBL:ENSCAFG00000007259
